Pair,Strategy,Total Return (%),Win Rate (%),Sharpe Ratio,Max Drawdown (%),Total Trades,Final Capital,Avg Win (%),Avg Loss (%),Score
USDCAD,Bollinger Bands,9.635144057539547,100.0,4.176357521790509,0.0,3,10963.514405753955,3.096103297476583,0.0,75.6176328409209
USDCAD,RSI Mean Reversion,22.71249156236323,100.0,2.198515613756345,0.0,6,12271.249156236323,3.461682894053206,0.0,61.07015276250874
GBPUSD,Bollinger Bands,12.328311368635259,100.0,2.1940243189557105,0.0,4,11232.831136863526,2.93752762470579,0.0,56.871567737011205
GBPAUD,RSI Mean Reversion,15.411501124177812,100.0,1.9950678055996809,0.0,5,11541.150112417781,2.8981600602454183,0.0,56.11527850566794
GBPUSD,RSI Mean Reversion,18.609312583846275,100.0,1.8216673137038535,0.0,6,11860.931258384628,2.8770686470231475,0.0,55.66039817057705
AUDJPY,Bollinger Bands,24.71017035364961,87.5,1.879896167135532,0.35220038775337337,8,12471.017035364961,3.240897993566286,-0.37216516771459807,54.86258973526449
GBPUSD,Multi-Indicator,29.346897671956228,100.0,1.2889698743265383,0.0,3,12934.689767195623,9.160912430408787,0.0,54.62845781204788
USDCAD,Stochastic,23.199791778226608,90.0,1.6786004421212668,1.0491203106965397,10,12319.97917782266,2.447446847731847,-1.0690153986654698,52.85609707036401
EURJPY,Multi-Indicator,19.038954560617803,100.0,1.2688419312371924,0.0,2,11903.89545606178,9.331681316169782,0.0,50.30400113661905
EURGBP,Bollinger Bands,16.451172923753273,100.0,1.3363714116311414,0.0,5,11645.117292375327,3.0986533200952207,0.0,49.94418328581273
GBPUSD,Stochastic,20.435996939550822,90.0,1.4106841591756774,0.24954466480779353,10,12043.599693955082,2.102478308544922,-0.2695197103413127,49.23133143461554
AUDJPY,Stochastic,29.046302788075156,85.71428571428571,1.1502994809745415,0.486411700366188,14,12904.630278807515,2.1871975898648075,-0.31064955457987464,48.738519299187956
EURGBP,RSI Mean Reversion,21.63987841250324,85.71428571428571,1.1658926977835016,1.814257919325082,7,12163.987841250324,3.6272431980395567,-1.8340764935331495,45.66631247325701
GBPUSD,Price Action,27.808325102209274,76.47058823529412,1.0704855209482271,0.22432854538798733,17,12780.832510220927,1.927259558407087,-0.13280015906370624,44.724496011876624
GBPAUD,Bollinger Bands,15.221998965068195,80.0,1.317067098991014,0.7922423934560175,5,11522.19989650682,3.799769151931125,-0.8121631692166719,43.101022097246215
